RVL_SDK/src/revolution/bte/stack/rfcomm/rfc_port_if	12	12+0	0
RVL_SDK/src/revolution/bte/stack/rfcomm/rfc_ts_frames	15	15+0	0
RVL_SDK/src/revolution/bte/stack/rfcomm/rfc_utils	15	14+1	0
RVL_SDK/src/revolution/bte/stack/sdp/sdp_api	9	7+0	2
RVL_SDK/src/revolution/bte/stack/sdp/sdp_db	10	9+0	1
RVL_SDK/src/revolution/bte/stack/sdp/sdp_discovery	10	8+0	2
RVL_SDK/src/revolution/bte/stack/sdp/sdp_main	11	10+0	1
RVL_SDK/src/revolution/bte/stack/sdp/sdp_server	4	0+0	4
RVL_SDK/src/revolution/bte/stack/sdp/sdp_utils	13	13+0	0
RVL_SDK/src/revolution/bte/stack/wbt/wbt_ext	1	1+0	0
RVL_SDK/src/revolution/cx/CXSecureUncompression	1	1+0	0
RVL_SDK/src/revolution/cx/CXStreamingUncompression	2	1+0	1
RVL_SDK/src/revolution/cx/CXUncompression	2	1+0	1
RVL_SDK/src/revolution/db/db	5	5+0	0
RVL_SDK/src/revolution/dsp/dsp	9	9+0	0
RVL_SDK/src/revolution/dsp/dsp_debug	1	1+0	0
RVL_SDK/src/revolution/dsp/dsp_task	5	5+0	0
RVL_SDK/src/revolution/dvd/dvd	51	51+0	0
RVL_SDK/src/revolution/dvd/dvdDeviceError	2	2+0	0
RVL_SDK/src/revolution/dvd/dvdFatal	4	4+0	0
RVL_SDK/src/revolution/dvd/dvd_broadway	32	32+0	0
RVL_SDK/src/revolution/dvd/dvderror	14	14+0	0
RVL_SDK/src/revolution/dvd/dvdfs	11	11+0	0
RVL_SDK/src/revolution/dvd/dvdidutils	1	1+0	0
RVL_SDK/src/revolution/dvd/dvdqueue	6	6+0	0
RVL_SDK/src/revolution/enc/encunicode	3	3+0	0
RVL_SDK/src/revolution/enc/encutility	3	3+0	0
RVL_SDK/src/revolution/esp/esp	9	9+0	0
RVL_SDK/src/revolution/euart/euart	3	3+0	0
RVL_SDK/src/revolution/exi/EXIBios	19	19+0	0
RVL_SDK/src/revolution/exi/EXICommon	1	1+0	0
RVL_SDK/src/revolution/exi/EXIUart	2	2+0	0
RVL_SDK/src/revolution/fs/fs	25	25+0	0
RVL_SDK/src/revolution/gx/GXAttr	11	11+0	0
RVL_SDK/src/revolution/gx/GXBump	10	10+0	0
RVL_SDK/src/revolution/gx/GXDisplayList	1	1+0	0
RVL_SDK/src/revolution/gx/GXFifo	13	10+2	1
RVL_SDK/src/revolution/gx/GXFrameBuf	15	12+3	0
RVL_SDK/src/revolution/gx/GXGeometry	9	9+0	0
RVL_SDK/src/revolution/gx/GXInit	6	6+0	0
RVL_SDK/src/revolution/gx/GXLight	16	16+0	0
RVL_SDK/src/revolution/gx/GXMisc	22	22+0	0
RVL_SDK/src/revolution/gx/GXPerf	2	2+0	0
RVL_SDK/src/revolution/gx/GXPixel	13	13+0	0
RVL_SDK/src/revolution/gx/GXTev	16	15+1	0
RVL_SDK/src/revolution/gx/GXTexture	32	30+0	2
RVL_SDK/src/revolution/gx/GXTransform	16	16+0	0
RVL_SDK/src/revolution/hbm/HBMAnmController	3	3+0	0
RVL_SDK/src/revolution/hbm/HBMAxSound	10	10+0	0
RVL_SDK/src/revolution/hbm/HBMBase	33	31+0	2
RVL_SDK/src/revolution/hbm/HBMCommon	11	11+0	0
RVL_SDK/src/revolution/hbm/HBMController	25	25+0	0
RVL_SDK/src/revolution/hbm/HBMFrameController	3	3+0	0
RVL_SDK/src/revolution/hbm/HBMGUIManager	56	56+0	0
RVL_SDK/src/revolution/hbm/HBMRemoteSpk	15	15+0	0
RVL_SDK/src/revolution/hbm/mix	15	15+0	0
RVL_SDK/src/revolution/hbm/nw4hbm/lyt/lyt_animation	11	11+0	0
RVL_SDK/src/revolution/hbm/nw4hbm/lyt/lyt_arcResourceAccessor	6	5+0	1
